num,data,1,3,5,7,9,11,13,15,17,19,21,23,25,qtd,soma,media
262, 11/10/07,.,3,.,7,9,.,13,15,17,.,21,23,.,8,108, 13.50
263, 15/10/07,1,.,.,7,9,11,.,15,.,19,21,23,.,8,106, 13.25
264, 18/10/07,1,3,.,.,9,.,13,.,.,19,21,23,25,8,114, 14.25
265, 22/10/07,1,.,5,7,.,11,13,15,17,19,.,.,.,8,88, 11.00
266, 25/10/07,1,3,5,7,9,11,.,15,.,19,21,.,.,9,91, 10.11
267, 29/10/07,.,3,5,.,9,11,13,15,17,.,21,23,.,9,117, 13.00
268, 01/11/07,.,.,5,7,9,.,.,15,.,19,.,23,25,7,103, 14.71
269, 05/11/07,1,.,.,.,.,.,13,15,17,19,.,23,.,6,88, 14.67
270, 08/11/07,1,3,5,7,9,.,.,.,.,19,.,23,25,8,92, 11.50
271, 12/11/07,1,.,5,.,.,11,.,.,.,19,21,.,25,6,82, 13.67
272, 16/11/07,1,.,5,.,9,11,13,15,17,.,.,23,25,9,119, 13.22
273, 19/11/07,1,.,5,7,.,.,.,15,17,19,21,.,25,8,110, 13.75
274, 22/11/07,.,.,5,7,.,11,.,15,17,.,21,23,25,8,124, 15.50
275, 26/11/07,1,3,5,.,9,11,.,15,17,.,.,.,.,7,61, 8.71
276, 29/11/07,.,3,5,7,.,11,13,.,17,19,.,.,25,8,100, 12.50
277, 03/12/07,.,.,.,.,9,11,13,.,17,.,21,23,25,7,119, 17.00
278, 06/12/07,1,3,5,.,9,11,13,15,17,19,21,23,25,12,162, 13.50
279, 10/12/07,1,3,5,.,9,11,13,.,17,19,.,23,.,9,101, 11.22
280, 13/12/07,.,3,5,.,9,11,13,15,17,19,.,.,25,9,117, 13.00
281, 17/12/07,1,3,.,.,9,11,.,15,17,19,.,23,25,9,123, 13.67
282, 20/12/07,.,3,.,7,.,11,13,15,.,19,21,.,25,8,114, 14.25
283, 22/12/07,1,.,.,.,9,11,13,.,.,19,.,23,.,6,76, 12.67
284, 27/12/07,1,3,5,7,.,11,13,15,17,19,21,23,25,12,160, 13.33
285, 29/12/07,1,.,5,.,9,11,13,15,.,19,.,23,.,8,96, 12.00
286, 03/01/08,1,3,.,7,9,11,13,.,.,19,21,23,25,10,132, 13.20
287, 07/01/08,.,.,5,7,.,.,13,15,17,.,21,23,25,8,126, 15.75
288, 10/01/08,1,3,.,.,9,.,13,15,.,19,.,.,25,7,85, 12.14
289, 14/01/08,1,3,.,.,9,.,.,15,17,19,.,.,.,6,64, 10.67
290, 17/01/08,1,.,5,7,9,11,13,.,17,.,21,23,.,9,107, 11.89
291, 21/01/08,1,.,5,7,.,11,13,15,17,.,.,23,.,8,92, 11.50
292, 24/01/08,.,3,5,7,9,11,13,.,17,.,21,.,25,9,111, 12.33
293, 28/01/08,1,3,.,.,9,.,13,15,.,19,.,23,25,8,108, 13.50
294, 31/01/08,1,3,5,7,.,11,.,15,.,.,.,23,25,8,90, 11.25
295, 07/02/08,.,3,.,.,.,.,13,15,17,19,21,23,25,8,136, 17.00
296, 11/02/08,.,3,.,7,.,11,.,15,17,19,.,.,25,7,97, 13.86
297, 14/02/08,1,.,.,7,9,.,.,15,.,.,21,23,25,7,101, 14.43
298, 18/02/08,1,3,.,7,.,11,13,15,.,.,21,.,.,7,71, 10.14
299, 21/02/08,.,3,5,7,.,.,13,.,17,19,21,23,.,8,108, 13.50
300, 25/02/08,.,3,.,7,9,11,.,15,17,19,21,23,25,10,150, 15.00
301, 28/02/08,.,3,.,.,9,11,13,15,17,19,.,23,.,8,110, 13.75
302, 03/03/08,.,.,5,.,9,11,.,15,.,.,.,.,25,5,65, 13.00
303, 06/03/08,.,3,.,.,.,.,.,15,17,.,21,23,.,5,79, 15.80
304, 10/03/08,1,3,5,.,.,.,.,15,17,19,21,.,25,8,106, 13.25
305, 13/03/08,.,3,5,.,.,11,13,.,.,.,21,.,25,6,78, 13.00
306, 17/03/08,1,.,5,.,.,11,13,15,.,19,.,.,25,7,89, 12.71
307, 20/03/08,1,3,.,.,9,.,.,15,17,19,21,23,.,8,108, 13.50
308, 24/03/08,1,.,5,.,.,.,13,15,.,19,21,23,25,8,122, 15.25
309, 27/03/08,1,3,.,.,9,.,13,.,17,.,21,.,.,6,64, 10.67
310, 31/03/08,.,3,5,.,9,11,.,15,17,19,21,23,.,9,123, 13.67
311, 03/04/08,.,.,5,7,.,.,.,15,17,19,.,23,25,7,111, 15.86
312, 07/04/08,1,.,.,.,9,11,13,.,17,19,.,.,25,7,95, 13.57
313, 10/04/08,.,3,.,7,9,.,.,15,17,19,.,23,25,8,118, 14.75
