num,data,2,4,6,8,10,12,14,16,18,20,22,24,qtd,soma,media
232, 28/06/07,.,4,6,.,.,12,14,16,18,.,.,24,7,94, 13.43
233, 02/07/07,2,4,6,8,.,12,14,.,.,.,.,.,6,46, 7.67
234, 05/07/07,2,4,.,.,.,12,14,.,.,.,22,24,6,78, 13.00
235, 09/07/07,.,.,.,8,10,12,14,16,18,.,.,24,7,102, 14.57
236, 12/07/07,.,4,.,8,.,12,.,16,.,.,22,.,5,62, 12.40
237, 16/07/07,.,4,6,.,.,12,.,16,18,20,22,.,7,98, 14.00
238, 19/07/07,.,4,6,.,.,12,14,.,.,20,.,24,6,80, 13.33
239, 23/07/07,.,.,6,.,10,.,14,16,.,.,22,.,5,68, 13.60
240, 26/07/07,2,4,.,.,10,.,14,16,18,.,22,.,7,86, 12.29
241, 30/07/07,.,4,.,8,.,12,14,.,.,20,.,24,6,82, 13.67
242, 02/08/07,2,.,6,8,.,.,14,16,18,.,22,.,7,86, 12.29
243, 06/08/07,2,4,.,.,.,12,.,16,18,20,.,.,6,72, 12.00
244, 09/08/07,.,.,6,.,10,12,14,.,18,20,22,24,8,126, 15.75
245, 13/08/07,2,.,6,.,10,12,14,16,18,.,.,24,8,102, 12.75
246, 16/08/07,.,4,.,8,10,12,.,.,18,.,.,24,6,76, 12.67
247, 20/08/07,2,4,.,8,.,.,14,16,.,.,22,.,6,66, 11.00
248, 23/08/07,2,.,.,8,10,12,.,16,.,20,.,.,6,68, 11.33
249, 27/08/07,.,4,.,8,10,12,14,.,18,.,22,.,7,88, 12.57
250, 30/08/07,2,.,.,.,10,12,.,16,18,.,.,.,5,58, 11.60
251, 03/09/07,.,4,6,.,10,.,.,16,18,.,22,.,6,76, 12.67
252, 06/09/07,2,4,6,8,.,.,14,.,18,.,22,24,8,98, 12.25
253, 10/09/07,.,4,6,8,.,12,.,.,18,.,22,.,6,70, 11.67
254, 13/09/07,2,4,6,8,.,.,14,16,.,20,.,.,7,70, 10.00
255, 17/09/07,2,4,6,.,10,.,14,16,.,.,22,24,8,98, 12.25
256, 20/09/07,2,.,6,8,10,12,.,16,18,20,22,24,10,138, 13.80
257, 24/09/07,.,.,6,.,10,12,14,16,18,.,22,24,8,122, 15.25
258, 27/09/07,2,4,6,.,.,12,14,.,.,20,22,24,8,104, 13.00
259, 01/10/07,.,.,6,8,10,.,.,.,18,20,22,24,7,108, 15.43
