num,data,1,3,5,7,9,11,13,15,17,19,21,23,25,qtd,soma,media
221, 21/05/07,.,.,5,.,9,11,13,15,.,.,.,.,.,5,53, 10.60
222, 24/05/07,.,.,.,.,.,11,13,.,17,19,.,.,25,5,85, 17.00
223, 28/05/07,1,3,5,.,.,.,.,15,17,19,.,.,25,7,85, 12.14
224, 31/05/07,1,3,5,7,.,.,.,.,17,.,.,.,25,6,58, 9.67
225, 04/06/07,.,.,.,.,9,11,.,.,17,.,21,.,.,4,58, 14.50
226, 08/06/07,1,3,.,7,9,.,.,.,.,.,.,23,.,5,43, 8.60
227, 11/06/07,.,3,.,.,.,11,13,.,.,.,.,23,25,5,75, 15.00
228, 14/06/07,1,3,5,7,9,.,.,.,.,.,21,23,.,7,69, 9.86
229, 18/06/07,1,3,5,7,.,.,.,.,.,19,21,.,.,6,56, 9.33
230, 21/06/07,.,.,.,7,9,.,.,.,.,19,21,23,25,6,104, 17.33
231, 25/06/07,.,3,.,.,9,11,13,.,.,.,.,23,.,5,59, 11.80
232, 28/06/07,1,3,.,7,.,.,.,15,.,19,.,.,.,5,45, 9.00
233, 02/07/07,.,.,.,.,.,11,.,15,.,.,.,23,25,4,74, 18.50
234, 05/07/07,.,.,.,7,.,.,.,.,.,19,.,23,25,4,74, 18.50
235, 09/07/07,.,3,5,7,9,11,.,.,.,.,.,.,.,5,35, 7.00
236, 12/07/07,.,.,.,.,.,11,.,.,17,19,.,.,.,3,47, 15.67
237, 16/07/07,1,3,.,.,.,11,.,.,17,.,.,.,25,5,57, 11.40
238, 19/07/07,.,.,5,7,9,.,.,.,.,.,.,.,25,4,46, 11.50
239, 23/07/07,.,.,.,.,.,11,.,.,17,.,21,.,.,3,49, 16.33
240, 26/07/07,.,3,5,7,.,.,.,.,17,.,.,.,25,5,57, 11.40
241, 30/07/07,1,.,.,7,.,11,.,.,.,19,.,.,.,4,38, 9.50
242, 02/08/07,1,3,.,7,.,11,.,.,.,.,.,.,25,5,47, 9.40
243, 06/08/07,.,.,.,.,9,11,.,15,.,19,.,.,.,4,54, 13.50
244, 09/08/07,1,.,.,.,.,.,13,.,17,19,.,23,25,6,98, 16.33
245, 13/08/07,.,3,5,.,.,.,13,.,17,.,21,23,.,6,82, 13.67
246, 16/08/07,.,3,.,.,.,11,.,.,.,19,.,23,.,4,56, 14.00
247, 20/08/07,.,.,5,.,.,11,13,.,.,.,21,.,.,4,50, 12.50
248, 23/08/07,.,3,.,7,.,.,.,.,17,.,.,23,.,4,50, 12.50
249, 27/08/07,1,3,.,.,.,11,13,.,.,19,.,.,.,5,47, 9.40
250, 30/08/07,.,.,.,7,.,11,.,.,.,.,.,.,25,3,43, 14.33
251, 03/09/07,1,.,.,7,.,11,.,.,17,.,.,.,.,4,36, 9.00
252, 06/09/07,1,.,5,7,9,.,13,.,.,.,21,.,.,6,56, 9.33
253, 10/09/07,.,3,.,.,9,.,.,.,17,.,.,.,25,4,54, 13.50
254, 13/09/07,1,.,.,.,.,.,.,.,17,19,21,.,25,5,83, 16.60
255, 17/09/07,.,.,5,7,.,11,13,.,.,19,.,.,25,6,80, 13.33
256, 20/09/07,.,3,5,.,.,11,.,.,17,19,21,23,25,8,124, 15.50
257, 24/09/07,.,.,5,.,.,11,.,15,.,.,21,23,25,6,100, 16.67
258, 27/09/07,1,3,.,7,.,11,.,15,.,.,.,23,.,6,60, 10.00
259, 01/10/07,1,.,.,.,.,11,13,.,17,.,.,23,.,5,65, 13.00
260, 04/10/07,.,.,.,.,.,.,.,15,17,.,21,23,25,5,101, 20.20
261, 08/10/07,.,3,.,.,9,.,.,.,.,.,.,23,.,3,35, 11.67
262, 11/10/07,1,.,5,.,.,11,.,.,.,19,.,.,25,5,61, 12.20
263, 15/10/07,.,3,5,.,.,.,13,.,17,.,.,.,25,5,63, 12.60
264, 18/10/07,.,.,5,7,.,11,.,15,17,.,.,.,.,5,55, 11.00
265, 22/10/07,.,3,.,.,9,.,.,.,.,.,21,23,25,5,81, 16.20
266, 25/10/07,.,.,.,.,.,.,13,.,17,.,.,23,25,4,78, 19.50
267, 29/10/07,1,.,.,7,.,.,.,.,.,19,.,.,25,4,52, 13.00
268, 01/11/07,1,3,.,.,.,11,13,.,17,.,21,.,.,6,66, 11.00
269, 05/11/07,.,3,5,7,9,11,.,.,.,.,21,.,25,7,81, 11.57
270, 08/11/07,.,.,.,.,.,11,13,15,17,.,21,.,.,5,77, 15.40
271, 12/11/07,.,3,.,7,9,.,13,15,17,.,.,23,.,7,87, 12.43
272, 16/11/07,.,3,.,7,.,.,.,.,.,19,21,.,.,4,50, 12.50
273, 19/11/07,.,3,.,.,9,11,13,.,.,.,.,23,.,5,59, 11.80
274, 22/11/07,1,3,.,.,9,.,13,.,.,19,.,.,.,5,45, 9.00
275, 26/11/07,.,.,.,7,.,.,13,.,.,19,21,23,25,6,108, 18.00
276, 29/11/07,1,.,.,.,9,.,.,15,.,.,21,23,.,5,69, 13.80
277, 03/12/07,1,3,5,7,.,.,.,15,.,19,.,.,.,6,50, 8.33
278, 06/12/07,.,.,.,7,.,.,.,.,.,.,.,.,.,1,7, 7.00
279, 10/12/07,.,.,.,7,.,.,.,15,.,.,21,.,25,4,68, 17.00
280, 13/12/07,1,.,.,7,.,.,.,.,.,.,21,23,.,4,52, 13.00
281, 17/12/07,.,.,5,7,.,.,13,.,.,.,21,.,.,4,46, 11.50
282, 20/12/07,1,.,5,.,9,.,.,.,17,.,.,23,.,5,55, 11.00
283, 22/12/07,.,3,5,7,.,.,.,15,17,.,21,.,25,7,93, 13.29
284, 27/12/07,.,.,.,.,9,.,.,.,.,.,.,.,.,1,9, 9.00
285, 29/12/07,.,3,.,7,.,.,.,.,17,.,21,.,25,5,73, 14.60
286, 03/01/08,.,.,5,.,.,.,.,15,17,.,.,.,.,3,37, 12.33
287, 07/01/08,1,3,.,.,9,11,.,.,.,19,.,.,.,5,43, 8.60
288, 10/01/08,.,.,5,7,.,11,.,.,17,.,21,23,.,6,84, 14.00
289, 14/01/08,.,.,5,7,.,11,13,.,.,.,21,23,25,7,105, 15.00
290, 17/01/08,.,3,.,.,.,.,.,15,.,19,.,.,25,4,62, 15.50
291, 21/01/08,.,3,.,.,9,.,.,.,.,19,21,.,25,5,77, 15.40
292, 24/01/08,1,.,.,.,.,.,.,15,.,19,.,23,.,4,58, 14.50
293, 28/01/08,.,.,5,7,.,11,.,.,17,.,21,.,.,5,61, 12.20
294, 31/01/08,.,.,.,.,9,.,13,.,17,19,21,.,.,5,79, 15.80
295, 07/02/08,1,.,5,7,9,11,.,.,.,.,.,.,.,5,33, 6.60
296, 11/02/08,1,.,5,.,9,.,13,.,.,.,21,23,.,6,72, 12.00
297, 14/02/08,.,3,5,.,.,11,13,.,17,19,.,.,.,6,68, 11.33
298, 18/02/08,.,.,5,.,9,.,.,.,17,19,.,23,25,6,98, 16.33
299, 21/02/08,1,.,.,.,9,11,.,15,.,.,.,.,25,5,61, 12.20
300, 25/02/08,1,.,5,.,.,.,13,.,.,.,.,.,.,3,19, 6.33
301, 28/02/08,1,.,5,7,.,.,.,.,.,.,21,.,25,5,59, 11.80
302, 03/03/08,1,3,.,7,.,.,13,.,17,19,21,23,.,8,104, 13.00
303, 06/03/08,1,.,5,7,9,11,13,.,.,19,.,.,25,8,90, 11.25
304, 10/03/08,.,.,.,7,9,11,13,.,.,.,.,23,.,5,63, 12.60
305, 13/03/08,1,.,.,7,9,.,.,15,17,19,.,23,.,7,91, 13.00
306, 17/03/08,.,3,.,7,9,.,.,.,17,.,21,23,.,6,80, 13.33
307, 20/03/08,.,.,5,7,.,11,13,.,.,.,.,.,25,5,61, 12.20
308, 24/03/08,.,3,.,7,9,11,.,.,17,.,.,.,.,5,47, 9.40
309, 27/03/08,.,.,5,7,.,11,.,15,.,19,.,23,25,7,105, 15.00
310, 31/03/08,1,.,.,7,.,.,13,.,.,.,.,.,25,4,46, 11.50
311, 03/04/08,1,3,.,.,9,11,13,.,.,.,21,.,.,6,58, 9.67
312, 07/04/08,.,3,5,7,.,.,.,15,.,.,21,23,.,6,74, 12.33
313, 10/04/08,1,.,5,.,.,11,13,.,.,.,21,.,.,5,51, 10.20
